5181059492;126
5182046516;707494
772289542;10
1903214150;1

951416490;20
1903214150;20
1903214150;1000
1903214150;0
951416490;0
951416490;20
425040842;10
1903214150;10
1903214150;0
1903214150;0
1903214150;1
1903214150;1
1903214150;1
1061333581;100
5066112673;6
1903214150;1
5356828967;0
5356828967;6
5033022663;10
727917379;10
950663728;10
1165294923;0
5248839396;10
808854843;10
5291390765;6
971758607;10
5369866054;10
798544348;10
5291390765;10
5291390765;2
790883622;10
790883622;10
5117562606;20
5182046516;10
АЙДИ;-1043
1903214150;-1043
1903214150;10
5248839396;10
408595952;465
5062087376;10
1985182192;12
1903214150;999999
5059198315;30
666957940;10
5341898014;7
5341898014;3
2037095977;230
1037672024;512
1779807160;20
1284891853;10
5236957754;10
5125864974;10
458419418;6
1848667727;300
5365361696;70
5313855011;50
5275716123;10
1332637764;20
2001867895;10
5033022663;50
798544348;10
1600215611;10
1534124285;10
1985182192;8
798544348;10
1600215611;10
954237651;10
1160483075;10
5123918315;10
5192991654;27
1764135502;10
887233514;12
5334834478;7
1133654786;70
5184840564;10
2069289629;10
1600215611;2
1534276154;10000
5180687497;100
1285450496;50
798544348;50
1019157926;10
5039604697;10
5331269147;10
5083526460;10
5248839396;3924390472348732847623894764839243
5124896508;10
5117286170;10
1539786739;140
