
5124896508;1;Профи;Профи
5117286170;1;Профи;Профи
5248839396;1;Профи;Профи
808854843;1;Профи;Профи
1620555407;1;Профи;Профи
5340421024;1;Профи;Профи
1539786739;-10000000000000000000000000000000000000000;Профи;Профи
1539786739;0;профи;профи
1539786739;0;Профи;Профи
1539786739;-0;Профи;Профи
1539786739;-0;Профи;Профи
1539786739;0;Профи;Профи
1539786739;10000000000000000000000000000000000000000;Профи;Профи
1539786739;-1000000;Профи;Профи
1539786739;-1000000;;
5003580985;100;Профи;Профи
1539786739;001;Профи;Профи
5003580985;-100;Профи;Профи
5003580985;-1;Профи;Профи
1539786739;000;Профи;Профи
1842513765;50;;
1539786739;0;Базовый;Базовый
1539786739;00;Профи;Профи
1842513765;5;100;100
1842513765;1;Профи;Профи
1434920158;1;Профи;Профи
